"","sitename","date","pm25count","pm25","latitude","longitude"
"63","43. Rajshahi, Thakurmara2",2022-04-24 05:00:00,4,24,24.3955383,88.5699585
"64","43. Rajshahi, Thakurmara2",2022-04-24 06:00:00,4,23.25,24.3955383,88.5699585
"65","43. Rajshahi, Thakurmara2",2022-04-24 07:00:00,4,23,24.3955383,88.5699585
"66","43. Rajshahi, Thakurmara2",2022-04-24 08:00:00,4,23,24.3955383,88.5699585
"67","43. Rajshahi, Thakurmara2",2022-04-24 09:00:00,4,23,24.3955383,88.5699585
"68","43. Rajshahi, Thakurmara2",2022-04-24 10:00:00,4,21.75,24.3955383,88.5699585
"69","43. Rajshahi, Thakurmara2",2022-04-24 11:00:00,4,21.25,24.3955383,88.5699585
"70","43. Rajshahi, Thakurmara2",2022-04-24 12:00:00,2,30.5,24.3955383,88.5699585
"71","43. Rajshahi, Thakurmara2",2022-04-24 13:00:00,4,29,24.3955383,88.5699585
"72","43. Rajshahi, Thakurmara2",2022-04-24 14:00:00,3,29.6666666666667,24.3955383,88.5699585
"73","43. Rajshahi, Thakurmara2",2022-04-24 15:00:00,4,27.5,24.3955383,88.5699585
"74","43. Rajshahi, Thakurmara2",2022-04-24 16:00:00,4,25.5,24.3955383,88.5699585
"75","43. Rajshahi, Thakurmara2",2022-04-24 17:00:00,4,26.25,24.3955383,88.5699585
"76","43. Rajshahi, Thakurmara2",2022-04-24 18:00:00,4,27,24.3955383,88.5699585
"77","43. Rajshahi, Thakurmara2",2022-04-24 19:00:00,3,NA,24.3955383,88.5699585
"78","43. Rajshahi, Thakurmara2",2022-04-24 20:00:00,4,26.75,24.3955383,88.5699585
"79","43. Rajshahi, Thakurmara2",2022-04-24 21:00:00,4,25,24.3955383,88.5699585
"80","43. Rajshahi, Thakurmara2",2022-04-24 22:00:00,4,23.25,24.3955383,88.5699585
"81","43. Rajshahi, Thakurmara2",2022-04-24 23:00:00,4,22.5,24.3955383,88.5699585
"82","43. Rajshahi, Thakurmara2",2022-04-25 00:00:00,4,21.25,24.3955383,88.5699585
"83","43. Rajshahi, Thakurmara2",2022-04-25 01:00:00,4,21,24.3955383,88.5699585
"84","43. Rajshahi, Thakurmara2",2022-04-25 02:00:00,4,22.5,24.3955383,88.5699585
"85","43. Rajshahi, Thakurmara2",2022-04-25 03:00:00,4,22.25,24.3955383,88.5699585
"86","43. Rajshahi, Thakurmara2",2022-04-25 04:00:00,4,24,24.3955383,88.5699585
"87","43. Rajshahi, Thakurmara2",2022-04-25 05:00:00,4,25,24.3955383,88.5699585
"88","43. Rajshahi, Thakurmara2",2022-04-25 06:00:00,4,25.75,24.3955383,88.5699585
"89","43. Rajshahi, Thakurmara2",2022-04-25 07:00:00,4,25,24.3955383,88.5699585
"90","43. Rajshahi, Thakurmara2",2022-04-25 08:00:00,4,27,24.3955383,88.5699585
"91","43. Rajshahi, Thakurmara2",2022-04-25 09:00:00,4,31.25,24.3955383,88.5699585
"92","43. Rajshahi, Thakurmara2",2022-04-25 10:00:00,4,32.25,24.3955383,88.5699585
"93","43. Rajshahi, Thakurmara2",2022-04-25 11:00:00,4,28.5,24.3955383,88.5699585
"94","43. Rajshahi, Thakurmara2",2022-04-25 12:00:00,4,26.5,24.3955383,88.5699585
"95","43. Rajshahi, Thakurmara2",2022-04-25 13:00:00,4,24,24.3955383,88.5699585
"96","43. Rajshahi, Thakurmara2",2022-04-25 14:00:00,4,22.75,24.3955383,88.5699585
"97","43. Rajshahi, Thakurmara2",2022-04-25 15:00:00,4,22.75,24.3955383,88.5699585
"98","43. Rajshahi, Thakurmara2",2022-04-25 16:00:00,4,23.5,24.3955383,88.5699585
"99","43. Rajshahi, Thakurmara2",2022-04-25 17:00:00,4,26.25,24.3955383,88.5699585
"100","43. Rajshahi, Thakurmara2",2022-04-25 18:00:00,4,27.25,24.3955383,88.5699585
"101","43. Rajshahi, Thakurmara2",2022-04-25 19:00:00,4,28.25,24.3955383,88.5699585
"102","43. Rajshahi, Thakurmara2",2022-04-25 20:00:00,4,29.25,24.3955383,88.5699585
"103","43. Rajshahi, Thakurmara2",2022-04-25 21:00:00,4,29.5,24.3955383,88.5699585
"104","43. Rajshahi, Thakurmara2",2022-04-25 22:00:00,4,28.5,24.3955383,88.5699585
"105","43. Rajshahi, Thakurmara2",2022-04-25 23:00:00,4,27.5,24.3955383,88.5699585
"106","43. Rajshahi, Thakurmara2",2022-04-26 00:00:00,4,27,24.3955383,88.5699585
"107","43. Rajshahi, Thakurmara2",2022-04-26 01:00:00,4,26,24.3955383,88.5699585
"108","43. Rajshahi, Thakurmara2",2022-04-26 02:00:00,4,25.25,24.3955383,88.5699585
"109","43. Rajshahi, Thakurmara2",2022-04-26 03:00:00,4,25,24.3955383,88.5699585
"110","43. Rajshahi, Thakurmara2",2022-04-26 04:00:00,4,25,24.3955383,88.5699585
"111","43. Rajshahi, Thakurmara2",2022-04-26 05:00:00,4,24.75,24.3955383,88.5699585
"112","43. Rajshahi, Thakurmara2",2022-04-26 06:00:00,4,25,24.3955383,88.5699585
"113","43. Rajshahi, Thakurmara2",2022-04-26 07:00:00,4,25.75,24.3955383,88.5699585
"114","43. Rajshahi, Thakurmara2",2022-04-26 08:00:00,4,29.75,24.3955383,88.5699585
"115","43. Rajshahi, Thakurmara2",2022-04-26 09:00:00,4,32.5,24.3955383,88.5699585
"116","43. Rajshahi, Thakurmara2",2022-04-26 10:00:00,4,31.5,24.3955383,88.5699585
"117","43. Rajshahi, Thakurmara2",2022-04-26 11:00:00,4,31.25,24.3955383,88.5699585
"118","43. Rajshahi, Thakurmara2",2022-04-26 12:00:00,4,31.5,24.3955383,88.5699585
"119","43. Rajshahi, Thakurmara2",2022-04-26 13:00:00,4,29,24.3955383,88.5699585
"120","43. Rajshahi, Thakurmara2",2022-04-26 14:00:00,4,25.75,24.3955383,88.5699585
"121","43. Rajshahi, Thakurmara2",2022-04-26 15:00:00,4,27.75,24.3955383,88.5699585
"122","43. Rajshahi, Thakurmara2",2022-04-26 16:00:00,4,28.25,24.3955383,88.5699585
"123","43. Rajshahi, Thakurmara2",2022-04-26 17:00:00,4,30,24.3955383,88.5699585
"124","43. Rajshahi, Thakurmara2",2022-04-26 18:00:00,4,31.75,24.3955383,88.5699585
"125","43. Rajshahi, Thakurmara2",2022-04-26 19:00:00,4,33,24.3955383,88.5699585
"126","43. Rajshahi, Thakurmara2",2022-04-26 20:00:00,4,33.25,24.3955383,88.5699585
"127","43. Rajshahi, Thakurmara2",2022-04-26 21:00:00,4,33.25,24.3955383,88.5699585
"128","43. Rajshahi, Thakurmara2",2022-04-26 22:00:00,4,33.5,24.3955383,88.5699585
"129","43. Rajshahi, Thakurmara2",2022-04-26 23:00:00,4,32.75,24.3955383,88.5699585
"130","43. Rajshahi, Thakurmara2",2022-04-27 00:00:00,4,30.5,24.3955383,88.5699585
"131","43. Rajshahi, Thakurmara2",2022-04-27 01:00:00,4,29.25,24.3955383,88.5699585
"132","43. Rajshahi, Thakurmara2",2022-04-27 02:00:00,4,27.25,24.3955383,88.5699585
"133","43. Rajshahi, Thakurmara2",2022-04-27 03:00:00,4,27.75,24.3955383,88.5699585
"134","43. Rajshahi, Thakurmara2",2022-04-27 04:00:00,4,29,24.3955383,88.5699585
"135","43. Rajshahi, Thakurmara2",2022-04-27 05:00:00,4,33.25,24.3955383,88.5699585
"136","43. Rajshahi, Thakurmara2",2022-04-27 06:00:00,4,36.5,24.3955383,88.5699585
"137","43. Rajshahi, Thakurmara2",2022-04-27 07:00:00,4,39.25,24.3955383,88.5699585
"138","43. Rajshahi, Thakurmara2",2022-04-27 08:00:00,4,40.75,24.3955383,88.5699585
"139","43. Rajshahi, Thakurmara2",2022-04-27 09:00:00,4,39.25,24.3955383,88.5699585
"140","43. Rajshahi, Thakurmara2",2022-04-27 10:00:00,4,35.75,24.3955383,88.5699585
"141","43. Rajshahi, Thakurmara2",2022-04-27 11:00:00,4,33,24.3955383,88.5699585
"142","43. Rajshahi, Thakurmara2",2022-04-27 12:00:00,4,30.75,24.3955383,88.5699585
"143","43. Rajshahi, Thakurmara2",2022-04-27 13:00:00,4,30,24.3955383,88.5699585
